web-scraper-order,web-scraper-start-url,titre_annonce,prix,commune,date,code_postal,surface_all,nb_pièces,détail,prix_m2
1613500833-54852,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=21,Studio meublé 16m2 Wazemmes,485,Lille  Wazemmes,"15 fév, 14:14",59000,16,1,Appartement,30.3125
1613500838-54891,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=19,Appartement 3 pièces 66 m²,488,Hazebrouck ,"15 fév, 16:54",59190,66,3,Appartement,7.393939393939394
1613500643-53260,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=68,Appartement 2 pièces 24 m²,400,Famars ,"10 fév, 14:47",59300,24,2,Appartement,16.666666666666668
1613500643-53271,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=68,Appartement 2 pièces 48 m²,620,Lambersart ,"10 fév, 13:31",59130,48,2,Appartement,12.916666666666666
1613500681-53797,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=53,Maison 3 pièces 82 m²,640,Caëstre ,"12 fév, 10:32",59190,82,3,Maison,7.804878048780488
1613500860-55239,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=10,"Hazebrouck, loue T3, 55m², 465 +charges 30",495,Hazebrouck ,"16 fév, 11:05",59190,55,3,,9
1613500631-53072,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=73,"T2 45 m² à Lille hyper centre, calme, lumineux",800,Lille  Centre,"10 fév, 08:42",59800,45,2,Appartement,17.77777777777778
1613500663-53528,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=60,Appartement 2 pièces 49 m²,612,Seclin ,"11 fév, 14:50",59113,49,2,Appartement,12.489795918367347
1613500695-53989,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=47,Appartement 3 pièces 67 m²,1105,Lille ,"12 fév, 18:08",59000,67,3,Appartement,16.492537313432837
1613500830-54790,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=22,Appartement 1 pièce 13 m²,511,Croix ,"15 fév, 14:02",59170,13,,Appartement,39.30769230769231
1613500855-55146,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=12,Studio 1 pièce 30 m²,444,Roubaix ,"16 fév, 09:50",59100,30,1,Appartement,14.8
1613500555-52155,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=100,Studio 1 pièce 25 m²,680,Lille ,"05 fév, 14:23",59800,25,1,Appartement,27.2
1613500713-54232,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=40,Appartement 3 pièces 50 m²,507,La Madeleine ,"13 fév, 14:57",59110,50,3,Appartement,10.14
