web-scraper-order,web-scraper-start-url,titre_annonce,prix,nom-commune,code_postal,date_publication,Type,surface_all,nb_pièces,détail,Jardin,état,garage,cave_sous_sol,prix_m2
1613468469-48179,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=12,Maison 4 pièces 141 m²,295032,Raimbeaucourt ,59283,"15 fév, 10:56",Maison,141,4,,,,,,2092.425531914894
1613469106-50230,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=54,Maison 5 pièces 119 m²,249000,Pérenchies ,59840,"11 fév, 10:49",Maison,119,5,,,,,,2092.436974789916
1613468443-47760,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=24,Longère 6 pièces 138 m²,289000,Bouvines ,59830,"14 fév, 12:07",Maison,138,6,,,,,,2094.2028985507245
1613469058-49595,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=72,Maison 6 pièces 100 m²,209500,Harnes ,62440,"08 fév, 19:19",Maison,100,6,,,,,,2095
1613469106-50205,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=54,Maison 6 pièces 134 m²,281000,Orchies ,59310,"11 fév, 11:21",Maison,134,6,,,,,,2097.0149253731342
1613468980-48647,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=99,Maison 5 pièces 105 m²,220207,Estaires ,59940,"02 fév, 11:45",Maison,105,5,,,,,,2097.209523809524
1613469055-49545,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=73,Maison 5 pièces 102 m²,214000,Cuincy ,59553,"08 fév, 17:22",Maison,102,5,,,,,,2098.0392156862745
1613468427-47515,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=31,Maison 6 pièces 190 m²,398900,Fournes-en-Weppes ,59134,"13 fév, 14:47",Maison,190,6,,,,,,2099.4736842105262
1613468434-47636,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=28,Maison 6 pièces 190 m²,398900,Sainghin-en-Weppes ,59184,"13 fév, 17:22",Maison,190,6,,,,,,2099.4736842105262
1613468434-47635,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=28,Maison 6 pièces 190 m²,398900,Don ,59272,"13 fév, 17:33",Maison,190,6,,,,,,2099.4736842105262
